A,B,result,RefD
machine translation,statistical machine translation,1,-0.405336429
linear algebra,machine learning resources,1,0.0342456367114199
natural language processing intro,chomsky hierarchy,1,-0.015374317
maximum likelihood estimation,deep learning introduction,0,0.0164974856816198
spectral methods,Autoencoders,0,0.0012607740668109
syntax based machine translation,caption generation,0,-0.314888551
generative and discriminative models,course introduction,0,0
newton method,search engines,0,0.0032043658845895
linear algebra,Mixture Models,1,-0.016380114
linguistics basics,cky parsing,1,-0.028005094
morphology and semantics in machine translation,regular expressions,0,0.0027424283864143
context free grammar,Canonical Correlation Analysis,0,-0.002077576
evaluation of information retrieval,query expansion,1,-0.156107454
nlp for databases,bidirectional recurrent neural networks,0,0
optimization,KKT conditions,1,-0.130972696
bayes theorem,bayesian network,1,-0.165064469
genetic algorithms,class logistics,0,0
planning,problem solving and search,1,-0.056968194
q learning,State Space Models,0,-0.469101019
sentence boundary recognition,Markov Random Fields,0,-0.03420961
parsing evaluation,semantic parsing,1,0.0052428605202302
heuristic search,data structures and algorithms,0,0.0377011185381285
bayes theorem,question answering,1,-0.017216842
object detection,text to speech generation,0,-0.001405666
reading comprehension,Lagrange duality,0,0
probabilities,cky parsing,1,-0.032939626
document ranking,clustering,0,0
nlp and vision,phrase based machine translation,0,0.0033079931927831
Markov chains,markov decision processes,1,-0.045592046
word embedding,word embedding variations,1,0
toolkits for information retrieval,Naive Bayes,0,0.068248521255687
information retrieval,Lagrange duality,0,0
context free grammars,neural language modeling,0,-0.015016712
data structures and algorithms,crawling the web,0,-0.012597125
probabilities,latent variable models,1,-0.10395975
KKT conditions,natural language processing intro,0,-0.002697211
linguistics basics,speech processing,1,-0.011355839
structured sparsity,linear programming,0,0.108053505989752
toolkits for information retrieval,query expansion,1,-0.139344078
stemming,statistical part of speech tagging,0,0.0488225876341657
structured learning,hidden markov models,0,0.587743680880494
edit distance,discourse parsing,0,0.109403715911168
kernel function,Mixture Models,1,0
nlp for biology,highway networks,0,0.0161105704385073
syntax,syntax based machine translation,1,-0.04212062
chomsky hierarchy,probabilistic grammars,1,-0.084678523
regular expressions,statistical part of speech tagging,0,-0.010512246
facial recognition systems,lexical semantics,0,0
linguistics basics,semantic role labeling,1,-0.046088822
structured sparsity,sequence classification and conditional random fields,0,0.279465388402993
latent variable models,spectral methods,0,0
ensemble learning,social media analysis,0,-0.034877913
summarization evaluation,scientific article summarization,1,0.0080928047441712
linguistics basics,word sense disambiguation,1,-0.036328489
lexical semantics,event detection,1,0
probabilities,variational bayes models,1,-0.12200503
Belief Propagation,toolkits for information retrieval,0,0
sentence representations,Manifold Learning,0,0.0512875522550247
computational phonology,reading comprehension,0,-0.049324977
sentence representations,automated essay scoring,1,0.0425571504784138
linguistics basics,text to speech generation,1,-0.010127857
calculus,latent variable models,1,0.0008666474416183
automated essay scoring,planning,0,0
Markov chains,bio text mining,0,0.0025913775130887
Hilbert Space,unlexicalized parsing,0,0
vector semantics,word embedding,1,0.118206873819161
optimization,machine learning resources,1,-0.020281247
topic modeling,statistical part of speech tagging,0,0.0263830890695495
lexical semantics,word segmentation,0,-0.068515505
natural language processing intro,regular expressions,1,-0.046930326
adversarial search,reinforcement learning,0,0.0405705756854011
kullback leibler divergence,Meta-Learning,0,0
regular expressions,random walks and harmonic functions,0,0
Principal Component Analysis,matrix factorization,1,0.0203415648130774
natural language processing intro,grammar checker,1,-0.320422562
natural language processing intro,vector representations,1,-0.022459941
State Space Models,Message Passing,0,0
Principal Component Analysis,particle filter,0,-0.312469339
heuristic search,a* search,1,0
random walks and harmonic functions,semi-supervised learning,1,-0.016461956
vector semantics,text mining,1,0.190602963804847
Mean Field Approximation,edit distance,0,0
Gaussian graphical models,statistical parsing,0,0
nlp for databases,machine translation techniques,0,0.0060023301719828
Unsupervised learning,spectral clustering,1,-0.053299976
thesaurus-based similarity,classic parsing methods,0,0
natural language processing intro,word sense disambiguation,1,-0.095908764
latent variable models,recurrent neural networks,0,-0.009706349
Canonical Correlation Analysis,recurrent neural networks,0,-0.058802223
structured learning,log-linear models,0,0.0060189836114677
question answering,neural question answering,1,0.0085254733470239
query expansion,course introduction,0,0
a* search,Visual QA,0,0
linguistics basics,shift-reduce parsing,1,0.0132200303159219
part of speech tagging,statistical part of speech tagging,1,0
convolutional neural network,ResNet,1,0
natural language processing intro,probabilistic context free grammars,1,-0.109730453
calculus,Manifold Learning,1,-0.010076973
machine learning resources,game playing in ai,1,-0.070924978
evaluation of text classification,language identification,1,-0.14047331
seq2seq,neural summarization,1,0.221791656455123
machine learning resources,Unsupervised learning,1,-0.427788818
optimization,memory networks,1,-0.044559803
scientific article summarization,neural question answering,0,0.0017545361046106
machine learning resources,matrix factorization,1,-0.068189175
structured learning,bio text mining,1,0.0263424676274468
natural language processing intro,word segmentation,1,-0.301654837
vector representations,bag of words model,1,-0.40039187
State Space Models,perceptron,0,0.189668015667615
machine learning resources,log-linear models,1,-0.212768871
backpropagation,Variations of GANs,1,0.173948973072208
computational phonology,caption generation,0,0
discourse parsing,capsule networks,0,-0.152106268
vector representations,evaluation of text classification,1,-0.301946203
lexicalized parsing,recurrent neural networks,0,0.0448955154391974
probabilities,problem solving and search,1,-0.0130634
natural language processing intro,nlp for the humanities,1,-0.326685439
linguistics basics,dialog systems,1,0
statistical parsing,Belief Propagation,0,0.0255936830233665
sentence representations,document representation,1,0
neural networks,convolutional neural networks,1,0.0901545020986423
parts of speech,context-sensitive grammars,0,0
shallow parsing,cky parsing,1,0.106098884034638
gibbs sampling,Visual QA,0,0
deep learning introduction,word embedding,1,-0.313378281
spectral clustering,morphology and lexicon,0,0
machine translation,logic and reasoning,0,0.0152407972628564
natural language processing intro,morphology and lexicon,1,-0.048797923
optimization,Meta-Learning,1,0
spectral methods,natural language processing intro,0,0
deep learning introduction,stack lstm,1,-0.289271107
agent-based view of ai,wordnet,0,-0.008823367
social network extraction,statistical part of speech tagging,0,-0.003248802
linear regression,neural language modeling,0,-0.33550701
toolkits for information retrieval,structured prediction,0,0.0043690589278606
training neural networks,stack lstm,1,-0.317339187
chinese nlp,spelling correction,1,0
natural language processing intro,nlp and vision,1,-0.000905829
sentence representations,seq2seq,0,0.266376471998785
classic parsing methods,thesaurus-based similarity,0,0
natural language processing intro,query expansion,1,-0.229169674
natural language processing intro,cky parsing,1,-0.348336407
syntaxnet,class logistics,0,0
crawling the web,neural parsing,0,-0.009483184
linguistics basics,morphology and lexicon,1,-0.056575008
heuristic search,evaluation of dependency parsing,0,-0.025518078
vector representations,word embedding variations,0,-0.141577279
search engines,statistical parsing,0,0
nlp for biology,dependency parsing,0,0.210833074535447
Manifold Learning,search engine indexing,0,0
vector representations,tsne,1,0.264143422067658
linear algebra,Message Passing,1,0.0015974336090048
word embedding variations,word sense disambiguation,1,-0.066899697
lexical semantics,probabilistic grammars,0,-0.007180022
neural machine translation,Visual QA,0,0
recommendation system,deep learning introduction,0,0.0140836594152835
dimensionality reduction,transfer learning,0,-0.077228816
natural language processing intro,language modeling,1,-0.085999669
text similarity,particle filter,0,-0.002565976
dynamic programming,cky parsing,1,-0.033135454
semantic similarity,text mining,1,0.10136325304795
natural language processing intro,propositional logic,1,-0.008700463
bagging,discourse analysis,0,0
programming languages,imagenet,0,-0.03410303
vector semantics,word sense disambiguation,1,0.104760051281974
linguistics basics,recommendation system,1,0
natural language processing intro,knowledge representation,1,-0.286971037
planning,adversarial search,1,0.0084568719877176
semantic similarity,sentence simplification,1,-0.286147586
transition based dependency parsing,training neural networks,0,0.136374036433945
syntax,cky parsing,1,-0.082568949
computational phonology,transliteration,0,-0.009528158
evaluation of language modeling,computational phonology,0,0
machine learning resources,finite state machines,0,-0.053554432
document ranking,information extraction,0,0.0224369987471426
probabilities,classification,1,-0.025662303
nlp for biology,bio text mining,1,0.210833074535447
linguistics basics,text generation,1,-0.03344375
parsing,neural parsing,1,-0.626929759
machine learning resources,speech synthesis,1,-0.058963421
natural language processing intro,machine translation,1,0.11559515838346
natural language processing intro,named entity recognition,1,-0.249621123
natural language processing intro,lexicography,1,-0.026246275
text similarity,bio text mining,1,0.0567122830754849
linguistics basics,lexicography,1,0.11690294370765
computational phonology,gradient descent,0,0
recurrent neural networks,neural turing machine,1,-0.432249971
speech processing,matrix multiplication,0,0
natural language processing intro,recommendation system,1,-0.018488621
nlp for databases,feature learning,0,0
Lagrange duality,reading comprehension,0,0
feature learning,lexical semantics,0,0.0059046722560081
recursive neural networks,agent-based view of ai,0,0.0106495240041583
crawling the web,planning,0,0
evaluation of dependency parsing,genetic algorithms,0,0.0118555979093464
probabilistic grammars,cross entropy,0,0
linguistics basics,word embedding,1,-0.013573263
machine translation techniques,named entity recognition,0,-0.329096724
relation extraction,social media analysis,1,-0.00674257
phrase based machine translation,part of speech tagging,0,-0.264370096
probabilities,structured learning,1,-0.077679356
spectral clustering,semi-supervised learning,0,-0.01490857
image retrieval,Mixture Models,0,0
social network extraction,scientific article summarization,0,-0.024541317
transition based dependency parsing,neural networks,0,0.0697779114489591
uncertainty,calculus,0,0.0381669136465197
calculus,newton method,1,-0.104230447
monte carlo methods,tsne,0,-0.007113603
statistical part of speech tagging,earley parsing,0,-0.000131128
kernel function,evaluation of text classification,0,0
linear algebra,structured sparsity,1,-0.01600984
question answering,Visual QA,1,0
semi supervised learning,recursive neural networks,0,0.0086669591402623
question answering,evaluation of question answering,1,0
knowledge representation,predicate logic,1,0.114831241425598
information extraction,social network extraction,1,-0.000205281
Mixture Models,expectation maximization algorithm,1,-0.017905556
natural language processing intro,kernels,1,0
natural language processing intro,semantic parsing,1,-0.063649613
linguistics basics,computational phonology,1,-0.009473453
k means,monte carlo methods,0,0.0079655927684825
text similarity,text mining,1,0.0567122830754849
Gaussian graphical models,Mixture Models,1,0
AlphaGo,finite state transducers,0,-0.005080544
nlp and vision,others,0,0
probabilistic grammars,a* search,0,0
word embedding variations,machine learning resources,0,0.418335494564923
regularization,logic and reasoning,0,0
monte carlo tree search,AlphaGo,1,-0.002478138
latent variable models,entropy,0,0
reinforcement learning,robotics,1,0.0669386608600321
semantic similarity,word sense disambiguation,1,0.0494827253377625
syntax based machine translation,kullback leibler divergence,0,-0.002367572
shallow parsing,Autoencoders,0,0.0544382903319156
uncertainty,robotics,1,0.0075509243768956
singular value decomposition,Principal Component Analysis,1,-0.013252492
neural language modeling,inference,0,0.031414571311025
linguistics basics,context free grammars,1,0.0396187740117355
vector representations,linear regression,0,0.318937429067724
toolkits for information retrieval,text mining,1,0.397482256834181
predicate logic,probabilities,0,-0.019101576
machine learning resources,kernel function,1,-0.129207968
semantic similarity,automated essay scoring,1,-0.183109623
text summarization,neural summarization,1,0
nlp for databases,stack lstm,0,0
Mean Field Approximation,decision trees,0,0.0160975053675682
feature learning,Manifold Learning,1,-0.021414831
calculus,Message Passing,0,0.0009236966537114
discourse analysis,collaborative filtering,0,0
machine translation,neural machine translation,1,0.0735814478533695
Dirichlet Processes,Canonical Correlation Analysis,0,0.0517755262158245
loss function,Variations of GANs,1,0.120434029644608
gibbs sampling,newton method,0,0.0299766003818868
robotics,robotic locomotion,1,0.0164684064163533
natural language processing intro,penn treebank,1,0.159061146963431
parsing,gated recurrent units,0,-0.022512241
matrix multiplication,Message Passing,1,-0.004096475
edit distance,Markov Random Fields,0,-0.002809256
earley parsing,others,0,0
vector representations,text mining,1,-0.04662091
finite state transducers,multi-modal learning,0,0.0050805444798602
random walks and harmonic functions,relation extraction,1,0
learning,neural question answering,0,0.0029841940757903
semi supervised learning,latent dirichlet allocation,0,0.0505273103748582
multi-agent systems,finite state transducers,0,-0.016552547
vector representations,generative adversarial networks,0,0.177259915892952
word embedding variations,Variable Elimination,0,0.0026114201426404
planning,Gaussian graphical models,0,0
machine learning resources,loss function,1,-0.213028847
KKT conditions,graphical models,0,-0.002078373
semantic similarity,language identification,0,-0.136378759
text similarity,data structures and algorithms,0,0.0286014719468875
monte carlo methods,particle filter,1,-0.043572413
classic parsing methods,semantic parsing,1,0.0090179096177733
neural networks,syntaxnet,1,0.0111201614882475
syntax,named entity recognition,0,-0.05260252
natural language processing intro,automated essay scoring,1,-0.278462633
loss function,speech processing,1,-0.027339142
calculus,mathematical models,1,-0.108691295
syntax,syntaxnet,1,-0.104960586
lexical semantics,thesaurus-based similarity,1,0
caption generation,others,0,0
python,preprocessing,1,0
programming languages,tools for dl,1,-0.076496367
machine translation,machine translation techniques,1,0
machine learning resources,tsne,1,-0.024332697
semantic similarity,relation extraction,1,-0.110420146
linguistics basics,event detection,1,0
highway networks,speech processing,0,0.0009323708841075
sentence representations,search engines,0,0.0066013049507092
neural summarization,singular value decomposition,0,0.0147457663904487
probabilities,bayes theorem,1,-0.043628343
linear algebra,latent variable models,1,0
q learning,Meta-Learning,0,-0.034870286
word distributions,character level language models,1,0.282445510496283
speech processing,random walks and harmonic functions,0,0.0194420908083854
graph-based nlp,pagerank,1,0
logic and reasoning,context free grammar,0,-0.007905809
calculus,document ranking,0,0.0063077857528573
structured learning,recommendation system,1,0.0644848461214425
ResNet,predicate logic,0,0
chomsky hierarchy,computation theory,1,-0.022905955
deep Q-network,computational phonology,0,0
random walks,harmonic functions,1,-0.026097231
kernel function,Visual QA,0,0
tree adjoining grammar,Autoencoders,0,0
classification,log-linear models,0,0
word embedding,syntaxnet,1,0.281291877842144
part of speech tagging,syntaxnet,1,0.463282810354239
deep learning tools,context free grammar,0,0.0021275692988133
thesaurus-based similarity,propositional logic,0,0
text to speech generation,wordnet,0,-0.197674593
text similarity,scientific article summarization,0,0
summarization evaluation,generative adversarial networks,0,0.0230254376238204
others,activation functions,0,0
convolutional neural networks,semantic role labeling,0,-0.083783907
probabilities,Meta-Learning,1,0
linear algebra,spectral methods,1,-0.115565871
memory networks,pointer networks,0,-0.171160428
structured learning,logic and reasoning,0,0.0157778236201473
linguistics basics,chomsky hierarchy,1,0.0244679308074088
structured learning,context free grammars,1,0.0120727151252896
machine translation,noisy channel model,1,-0.276623351
heuristic search,multi-modal learning,0,0.0166667030182882
latent variable models,latent dirichlet allocation,1,0
natural language processing intro,semantic role labeling,1,-0.381878146
syntax,Hilbert Space,0,0
word distributions,word embedding,1,0.142628774865812
loss function,machine learning resources,1,0.213028846820707
kernel function,Gaussian graphical models,0,0
deep learning introduction,speech signal analysis,0,0.0078861227283896
part of speech tagging,course introduction,1,0
seq2seq,evaluation of question answering,0,0.175509790612339
search,heuristic search,1,0
statistical parsing,a* search,0,0
Dirichlet Processes,document ranking,0,0
calculus,Mixture Models,1,-0.024542203
parsing,event detection,1,-0.021042683
probabilities,statistical parsing,1,-0.034526453
probabilities,mathematical models,1,-0.044654053
multi-modal learning,evaluation of text classification,0,0.007757613904183
Variable Elimination,morphology and lexicon,0,0
structured learning,vector semantics,1,-0.009770927
search engines,others,0,0
evaluation of dependency parsing,language modeling,0,0.321601793611829
linguistics basics,spelling correction,1,0
finite state machines,finite state transducers,1,-0.302666174
social media analysis,word embedding variations,0,0.0145098997227743
heuristic search,speech recognition,0,0.0593556906578014
nlp for databases,machine learning resources,0,0.0033079931927831
learning,perceptron,0,-0.006606462
vector semantics,context free grammars,1,0
probabilities,Manifold Learning,1,-0.017945821
training neural networks,graph convolutional networks,1,-0.261134612
probabilities,monte carlo tree search,1,-0.048166421
shift-reduce parsing,transition based dependency parsing,1,0.0146376634807004
convolutional neural network,neural question answering,1,-0.033303595
syntax,penn treebank,1,-0.508666403
multi-agent systems,uncertainty,0,0.0102662239579441
neural networks,training neural networks,1,0.179173899997117
gradient descent,programming languages,0,0.0064491828796734
word distributions,context free grammars,1,0.0139628119907756
linear algebra,Principal Component Analysis,1,-0.035115955
dimensionality reduction,Manifold Learning,1,-0.046666716
speech processing,probabilistic grammars,0,0.0023592792439115
natural language processing intro,word embedding,1,-0.052860598
first-order logic,recurrent neural networks,0,-0.011239819
