A,B,result
Bioinformatics,Quantum cryptography,0
Algorithm,Mathematics,1
Garbage collection (computer science),Dynamic memory allocation,0
Logic,Web server,0
Multi-core processor,Regular expression,0
Ordinary differential equation,Foundations of mathematics,1
Stochastic,Cluster analysis,0
Unsupervised learning,Computer science,1
P versus NP problem,Pattern matching,0
Functional programming,Variable (computer science),1
Logic,Monte Carlo method,0
Ordinary differential equation,Numerical analysis,1
Computational chemistry,Problem solving,1
NP-complete,Foundations of mathematics,1
First-order logic,Control flow,1
Operating system,Computer programming,1
Poisson distribution,Probability theory,1
String searching algorithm,Uncertainty,0
Recurrence relation,Mathematical induction,1
String searching algorithm,Problem solving,1
Generic programming,PSPACE,0
Perl,Formal grammar,0
Database,Debugging,0
Calculus,CPU cache,0
Data warehouse,Data (computing),1
Data structure,Foundations of mathematics,1
Relational database,Probability theory,1
World Wide Web,Unsupervised learning,0
Database management system,Graph theory,1
Data type,Computer science,1
OSI model,Graph (mathematics),1
Computer vision,Graphics,0
Machine learning,Theoretical computer science,1
Recommender system,Mathematical optimization,1
CPU cache,Computational problem,0
Neural network,Computer science,1
Formal language,String (computer science),1
Natural language processing,Algorithm,1
Round-off error,Quantum computer,0
Unsupervised learning,Statistics,1
Linear system,Mobile device,0
Computational complexity theory,Computation,1
Parsing,Newton's method,0
User interface,Computer programming,1
Sentiment analysis,Probability theory,1
Programming paradigm,Number theory,1
Graphical model,Amortized analysis,0
Time complexity,Computability,1
Dynamic programming,Algorithm design,1
Software engineering,Inter-process communication,0
Flow network,Computer multitasking,0
Embedded system,Computing,1
Web search engine,Problem solving,1
Compiler,Automata theory,1
Cryptography,Combinatorics,1
Artificial intelligence,Game theory,0
Machine translation,Data structure,1
Denotational semantics,Automata theory,1
Computer security,Foundations of mathematics,1
Application software,Time complexity,0
Algorithm design,Computer,1
Computer software,Input/output,1
MATLAB,Computer,1
Abstract data type,Array data structure,0
Robotics,Rendering (computer graphics),0
Graphical model,Statistical inference,1
Data structure,Number theory,1
Software engineering,Cryptography,0
Haskell (programming language),Algorithm,1
C++,Object-oriented programming,1
Cryptanalysis,Logic,1
Programming paradigm,Graph theory,1
Java (programming language),Object (computer science),1
PSPACE,Game theory,0
Abstract data type,Number theory,1
PSPACE,Computational complexity theory,1
Automated planning and scheduling,Shading,0
C (programming language),Poisson distribution,0
Computer,File system,0
Social network,Computational problem,0
Traffic analysis,3D computer graphics,0
Sentiment analysis,Computational science,1
Graphical model,Algebra,1
Computer software,Graphical model,0
Data mining,Automata theory,1
Wireless sensor network,Distributed computing,0
Economics,Matrix (mathematics),1
Theoretical computer science,Mathematical proof,1
Malware,Telecommunications network,0
Analysis of algorithms,Theoretical computer science,1
Mathematics,Data,0
Distributed algorithms,Combinatorics,1
Data structure,Database transaction,0
Interactivity,Foundations of mathematics,1
Parallel computing,Graph coloring,0
Time complexity,Mathematics,1
Finite difference,Computational problem,0
Distributed computing,Scalability,0
Computational problem,Thread (computer science),0
Lexical analysis,Graphical user interface,0
Programming paradigm,Semantics,0
Computation,Computational complexity theory,0
Image processing,Parallel algorithm,0
Data structure,Procedural programming,0
Speech recognition,Computational complexity theory,1
Artificial intelligence,Discrete mathematics,1
Rendering (computer graphics),Foundations of mathematics,1
Pattern recognition,Reinforcement learning,0
Genetic algorithm,System call,0
Flow network,Asymptotic analysis,0
Randomness,Combinational logic,0
Knowledge representation and reasoning,Programming language,0
Model checking,Algorithm,1
Random graph,Computational science,1
Markov process,Wavelet,0
Volume rendering,Shading,1
Probability,Database,0
Transaction processing,Relational algebra,1
Lisp (programming language),Computer science,1
Part-of-speech tagging,Interaction design,0
Scope (computer science),Debugging,0
C (programming language),Computing,1
Malware,Undecidable problem,0
Web browser,Random walk,0
Dynamic programming,Iterative method,1
Automated planning and scheduling,Mathematics,1
Social network,Gradient descent,0
Pushdown automata,Program optimization,0
Software engineering,Computer programming,1
Programmer,Computer,1
Pattern matching,C++,0
Cryptanalysis,Combinatorics,1
Variable (computer science),Random variable,0
Amortized analysis,Computer science,1
JavaScript,Computational science,1
Shading,Semantics,0
Kernel (computing),Concurrency control,0
Recursion (computer science),Computational complexity theory,1
GPU,Geometry,1
Software design,Computational complexity theory,1
Divide and conquer algorithm,Problem solving,1
Concurrent computing,Computer,1
Parallel algorithm,Logic,1
Kernel (computing),Routing,0
Traffic analysis,Polymorphism (computer science),0
Software development,Theory of computation,1
Scripting language,Digital electronics,1
Machine learning,Theory of computation,1
Control flow,Digital electronics,1
Software engineering,High-level programming language,1
Program optimization,Recursion (computer science),0
Application programming interface,Computability,1
Superscalar,Markov chain,0
Recursion (computer science),Sparse matrix,0
Parallel algorithm,Parallel computing,1
Polymorphism (computer science),Computer programming,1
Computer animation,Integral,0
Mechanical engineering,Computational problem,0
Finite-state machine,Number theory,1
Probability,Natural language processing,0
Computer programming,Combinatorics,1
Malware,Monad (functional programming),0
Scheduling (computing),Computational problem,0
Relational database,Graph theory,1
Linear system,Inheritance (object-oriented programming),0
Programming style,Computer programming,1
Programming paradigm,Computational science,1
Turing machine,Number theory,1
Reinforcement learning,Computer programming,1
Algorithm,Scripting language,0
Statistics,Mathematics,1
Cluster analysis,Relational database,0
Shortest path problem,Compiler,0
Calculus,Linked list,0
Information security,Artificial intelligence,0
Software engineering,Web service,0
Expert system,Support vector machine,0
Introduction to Algorithms,Functional programming,0
Autonomous robot,Analysis of algorithms,1
Graphical model,Algorithm design,1
Data mining,Computational science,1
Statistics,Arithmetic,1
Combinatorics,Algebra,1
3D modeling,Random variable,0
Randomized algorithm,Conditional probability,1
Unix,Operating system,1
Computer software,Boundary value problem,0
System programming,Computer science,1
Run time (program lifecycle phase),Personal computer,0
ML (programming language),Cryptanalysis,0
Markov process,Image processing,0
Calculus,Performance tuning,0
Parsing,Polynomial,1
Automatic programming,Computing,1
Fast Fourier transform,Robot,0
hypothesis testing,Ordinary differential equation,0
Approximation algorithm,Algorithm,1
Combinational logic,Complexity class,0
Mathematical model,High-level programming language,0
Formal grammar,Data structure,1
Regular language,Logic,1
Amortized analysis,Index (database),0
Dynamic memory allocation,Image processing,0
Computer programming,Algorithm design,1
Communication,Procedural programming,0
Python (programming language),Gradient descent,0
Dynamic programming,Computer,1
Discrete mathematics,Partial differential equation,0
Semantics of programming languages,Programming language,1
Compiler,Computer,1
Formal language,Mathematics,1
Computer science,Graph (mathematics),1
Visualization (computer graphics),Linear system,0
Computer animation,Dynamic programming,0
Cryptography,Computer science,1
Program optimization,Computer science,1
Calculus of variations,Formal language,0
Regular language,Packet switching,0
Feature extraction,Mathematical induction,1
Bayesian,Multiplication,0
Expected value,Index (database),0
Introduction to Algorithms,Estimation theory,0
Computer architecture,String searching algorithm,0
Queue (data structure),PSPACE,0
Differential equation,Approximation algorithm,0
Design pattern (computer science),Statistics,0
Robotics,Number theory,1
PageRank,Game theory,0
PSPACE,Java (programming language),0
Memory hierarchy,Computer architecture,1
Quantum mechanics,Time complexity,0
Computational geometry,Approximation,0
Object (computer science),Discrete mathematics,1
Pattern matching,Predicate logic,0
List of undecidable problems,List of undecidable problems,0
String searching algorithm,Combinatorics,1
Network security,Bayesian,0
Artificial intelligence,Eigenvalues and eigenvectors,1
Entropy,Uncertainty,1
Scope (computer science),Recommender system,0
Calculus of variations,OSI model,0
Combinational logic,File system,0
Tensor,Vector processor,0
Deadlock,Central processing unit,1
Computer animation,Computer science,1
Speech recognition,Random variable,1
Iterative method,Graph theory,0
Image analysis,Virtual reality,0
Traffic analysis,Computational complexity theory,1
Knowledge representation and reasoning,Computability,1
Speech recognition,Data structure,1
Signal processing,Image,0
Inference,Data structure,0
Recursion (computer science),Problem solving,1
Computer architecture,Number theory,1
GPU,Computer,1
Time complexity,Algorithm design,1
Calculus,Algebra,1
NP (complexity),Theoretical computer science,1
Formal methods,Computer programming,1
Vector processor,Time complexity,1
Inference,Denotational semantics,0
Geometric modeling,Polynomial,1
Automated planning and scheduling,Integral,0
Polynomial,Motion capture,0
Data mining,Spanning tree,0
Monad (functional programming),Random variable,0
JavaScript,Automata theory,1
Bioinformatics,Introduction to Algorithms,1
Analysis of algorithms,Computer,1
Hidden line removal,Abstraction (computer science),1
Ordinary differential equation,Model checking,0
Analysis of algorithms,Structured programming,0
Query language,Arithmetic,1
Computer multitasking,CPU cache,0
OSI model,Randomized algorithm,0
System call,Input/output,1
Context-free grammar,Logic,1
C (programming language),Vector processor,0
Structured programming,Data structure,1
SQL,Database,1
Computer network,Data warehouse,0
Relational model,World Wide Web,0
Model checking,Integer,1
Vector processor,Database management system,0
Superscalar,Computer science,1
Python (programming language),Recursion (computer science),0
Computer science,Foundations of mathematics,1
Theory of computation,Algorithm,0
Virtual reality,Interactivity,1
Malware,Computer science,1
Reinforcement learning,Algorithm,1
Peer-to-peer,Communications protocol,1
Mechanical engineering,Automated planning and scheduling,0
Robotics,Reason,1
Computational geometry,Number theory,1
Relational model,Data,1
Scheduling (computing),Computer programming,1
PageRank,Cryptographic hash function,0
Mechanical engineering,Rendering (computer graphics),0
Scope (computer science),Computational complexity theory,1
Data mining,Graph theory,1
3D computer graphics,GPU,0
Recurrence relation,Logic,1
Decision theory,Computability,1
Profiling (computer programming),Polynomial,1
Computer software,Deadlock,0
Interactivity,Array data structure,0
Program optimization,Computing,1
Transaction processing,Database transaction,1
Introduction to Algorithms,Interface (computing),0
Concurrency control,Computing,1
Markov chain,Lazy evaluation,0
Python (programming language),Variable (computer science),1
Lexical semantics,B-tree,0
Program optimization,Logic,1
Traffic analysis,Modular arithmetic,1
Cryptanalysis,Discrete mathematics,1
Database design,Program optimization,0
Cryptographic hash function,Computer science,1
Algorithm,Polynomial,1
Semantics,Database design,0
Multi-core processor,Stochastic process,0
Functional programming,Modular arithmetic,0
Python (programming language),Logic,1
Authentication,Cloud computing,0
Debugging,Computer science,1
Machine learning,Computer,1
Shared memory,Boundary value problem,0
Computer programming,Computational science,1
Internet,Computer,1
Web search engine,Combinatorics,1
Computability,Mathematics,1
Analysis of algorithms,Semantics,0
Shared memory,Computational science,0
Hidden Markov model,Random variable,1
Unsupervised learning,Theory of computation,0
Correlation and dependence,Algorithm,0
Superscalar,Stack (data structure),0
Cloud computing,Fourier analysis,0
Stochastic,Rendering (computer graphics),0
Recurrence relation,Operating system,0
Prolog,Computer science,1
Unix,Computer,1
Inheritance (object-oriented programming),Object-oriented programming,1
Approximation algorithm,Abstraction (computer science),1
Operating system,Computation,1
Syntax,Wavelet,0
Virtual reality,Probability,0
Robot,Artificial intelligence,1
Pushdown automata,Synchronization,0
Software development,Number theory,1
Recurrence relation,Python (programming language),0
Suffix tree,Software development,0
Application software,Computational science,0
Computer security,Graph theory,1
Communications protocol,Communication,1
Database,Computer,1
Monad (functional programming),Gradient descent,0
Computability,Network security,0
Computational chemistry,Mathematical optimization,0
Computer network,Mathematics,1
Synchronization,Multi-core processor,0
SQL,Number theory,1
Cloud computing,Shared memory,0
Continuous function,Network security,0
Round-off error,Polynomial,1
Decision theory,Polynomial,1
Graph coloring,Graph (mathematics),1
Multiplication,Graphics,0
Distributed algorithms,Traffic analysis,0
Data structure,String searching algorithm,0
Parsing,Computer science,1
Higher-order function,Perl,0
Malware,Computer security,1
Calculus of variations,Shading,0
Monte Carlo method,Integral,1
Economics,Model of computation,0
Computational geometry,Discrete mathematics,1
Poisson distribution,Feature extraction,0
Human-computer interaction,Probability theory,0
Natural language processing,Data analysis,0
Debugging,Programming language,1
Flow network,Virtual memory,0
Computational chemistry,Combinatorics,1
Database,Data type,1
Stack (data structure),Firewall (computing),0
Automata theory,Randomized algorithm,0
Amortized analysis,Embedded system,0
Mathematical model,Polynomial,0
Cache coherence,Parallel computing,1
Server (computing),Software design,0
Random graph,Feature extraction,0
Software development,Central processing unit,0
Support vector machine,Computing,1
Neural network,Mathematics,1
Document classification,Machine learning,1
Object (computer science),Computer,1
Program analysis,Mathematics,1
Game theory,Algebra,1
Personal computer,Digital electronics,1
hypothesis testing,Mathematics,1
Geometric modeling,Algorithm,1
Information theory,Recurrence relation,0
String (computer science),Computational science,1
Shortest path problem,Scientific visualization,0
Machine translation,Boundary value problem,0
Computer science,Arithmetic,1
Relational database,Number theory,1
Numerical analysis,Algorithm,1
High-level programming language,Arithmetic,1
Halting problem,Queue (data structure),0
Perl,Input/output,0
Reinforcement learning,Cloud computing,0
NP-complete,Telecommunications network,0
Image analysis,Cluster analysis,0
Information theory,Probability theory,1
Artificial intelligence,Data (computing),1
Complexity,Combinatorics,1
Graphical user interface,Traffic analysis,0
C++,Computer,1
"Best, worst and average case",Symbol table,0
Cloud computing,Divide and conquer algorithm,0
Semantics of programming languages,Computability,1
Data type,Number theory,1
Flow network,Lock (computer science),0
Object-oriented programming,Computational complexity theory,1
Instruction set,Message passing,0
Recurrence relation,Combinatorics,1
Nonlinear system,Profiling (computer programming),0
Object (computer science),Number theory,1
Multi-core processor,Computer architecture,1
Prediction,Probability,1
Authentication,Debugging,0
3D modeling,Algorithm,1
Ray tracing (graphics),Prolog,0
Speech recognition,Statistics,1
Distributed algorithms,Computer science,1
Pattern recognition,Context-free grammar,0
Computer architecture,Data analysis,0
Programmer,Automata theory,1
Cryptography,HTML,0
Coding theory,Web server,0
Software design,Computer graphics,0
Abstract data type,Computer science,1
Prolog,Interface (computing),0
Relational database,Operating system,1
Formal language,Algebra,1
Unsupervised learning,Artificial intelligence,1
Machine translation,Computer science,1
Database system,Robot,0
Artificial intelligence,Database design,0
Iterative method,Matrix (mathematics),1
Central processing unit,Computer simulation,0
Inheritance (object-oriented programming),Computer science,1
Random variable,Computability,0
Number theory,Central processing unit,0
Pipeline (computing),Sequence alignment,0
System call,Mechanical engineering,0
Automatic programming,Integer,0
Interactivity,Logic,1
Human-computer interaction,Web server,0
JavaScript,Arithmetic,1
Graph coloring,Recommender system,0
Computational chemistry,Logic,1
Neural network,Expected value,1
Linear programming,Perl,0
Graphics,Propositional calculus,0
Part-of-speech tagging,Uncertainty,0
Programmer,Programming language,1
String (computer science),Computing,1
Java (programming language),Compiler,1
Hidden line removal,Polynomial,1
Martingale (probability theory),Autonomous robot,0
Mutual exclusion,Machine translation,0
Database,Computing,1
Garbage collection (computer science),Logic,1
Parametric polymorphism,Markov chain,0
Random graph,Predicate logic,0
Theoretical computer science,Graphical user interface,0
Complexity,Integer,1
Computer programming,Iterative method,1
Recursively enumerable set,P versus NP problem,0
Atomicity (database systems),Approximation algorithm,0
Object (computer science),Geometric modeling,0
String (computer science),Data (computing),1
Lexical analysis,Graph theory,1
Algorithm design,Computational science,1
Foundations of mathematics,Machine learning,0
Suffix tree,Formal verification,0
Programming paradigm,Nonlinear system,0
Algorithm,Computer science,1
Vector processor,Computer programming,1
Combinational logic,Natural language processing,0
Bioinformatics,Integer,1
Web server,Inter-process communication,0
Question answering,Mathematics,1
Quantum cryptography,Variable (computer science),0
Markov chain,Interface (computing),0
Digital signature,Semantics,0
Wavelet,Concurrency control,0
Generic programming,Time complexity,0
Statistics,Gradient descent,0
Computing,Operating system,0
Relational model,Reinforcement learning,0
Computational chemistry,Iterative method,1
Algorithm,Computation,1
Object (computer science),Perl,0
Index (database),Computer science,1
B-tree,Number theory,1
Randomized algorithm,Complexity,1
Software testing,Economics,0
Concurrency (computer science),Motion planning,0
Relational algebra,Index (database),0
Firewall (computing),Recursion (computer science),0
Recurrence relation,Integer,1
Programming paradigm,Computability,1
Microcode,Gradient descent,0
Expert system,Modular arithmetic,0
Machine learning,Mathematical model,1
Stochastic,Mathematics,1
Model checking,Polynomial,1
Abstract data type,Formal verification,0
Database,Algorithm,1
Recurrence relation,Malware,0
Modular programming,Economics,0
Neural network,Foundations of mathematics,1
Sequence alignment,Kalman filter,0
B-tree,Discrete mathematics,1
Exponential family,Database management system,0
NP (complexity),Lisp (programming language),0
Relational database,Introduction to Algorithms,1
Thread (computer science),Computational problem,0
Compiler,Discrete mathematics,1
Data mining,Computational chemistry,0
Web browser,Web server,0
Central processing unit,Network security,0
Probability,Parametric polymorphism,0
Control flow,Calculus of variations,0
First-order logic,Computation,0
Scientific visualization,Unsupervised learning,0
Network security,Security,1
Profiling (computer programming),Computing,1
NP (complexity),First-order logic,0
Big data,C (programming language),0
Data mining,Artificial intelligence,1
Computer simulation,Motion capture,0
Transaction processing,Algorithm design,1
Malware,Abstract data type,0
Game theory,Computer animation,0
Syntax,Communications protocol,0
Public-key cryptography,Mathematical induction,1
Lisp (programming language),Recursion,1
Routing,Security,0
Speech recognition,Expected value,1
Functional programming,P versus NP problem,0
Software testing,Volume rendering,0
Structured programming,Graphical model,0
Software development,Computer programming,1
Information theory,Synchronization,0
Digital signature,Integer,1
Recursion (computer science),Computational science,1
Transaction processing,Graph theory,1
Computer simulation,Relational database,0
C++,Bioinformatics,0
Algorithm,Very long instruction word,0
Random walk,Poisson distribution,0
Asymptotic analysis,Cryptographic hash function,0
Database system,Halting problem,0
Quantum cryptography,Cryptography,1
Cloud computing,Compiler,0
Database,Information assurance,0
Central processing unit,Control flow,0
Motion planning,Computer programming,1
Mathematics,Vulnerability (computing),0
Thread (computer science),Interpolation,0
Reinforcement learning,Lexical semantics,0
Relational database,Discrete mathematics,1
Python (programming language),Data type,1
Signal processing,Information theory,0
Internet Protocol Suite,Information theory,0
Abstraction (computer science),Foundations of mathematics,1
Modular programming,Computability,0
Cryptography,Computer security,1
Quantum computer,Polynomial,1
Machine translation,Lisp (programming language),0
Statistics,Data,1
Feature extraction,Logic,1
B-tree,Time complexity,0
Thread (computer science),Congestion control,0
Cryptographic hash function,Computer security,1
Numerical analysis,Problem solving,1
Model checking,Mathematics,1
C++,Debugging,0
Pushdown automata,Interpolation,0
Ray tracing (graphics),Geometry,1
Relational database,Data,1
Kalman filter,Semantics of programming languages,0
Programming style,Arithmetic,1
Image analysis,Context-free grammar,0
Personal computer,Computer,1
Genetic algorithm,Combinatorics,1
Coding theory,Data structure,0
Computer graphics,Polynomial,1
Mathematical optimization,Mathematical induction,1
Sequence alignment,Probability,1
Kinematics,Functional programming,0
Hidden line removal,Vector processor,0
Functional programming,Instruction set,0
Hidden Markov model,Computer programming,1
Time complexity,Computing,1
Very long instruction word,Graphics,0
Programming language,Number theory,1
Firewall (computing),Sequence alignment,0
Natural language,Support vector machine,0
Formal methods,Graph theory,1
Undecidable problem,Computational problem,1
Computational geometry,Automated theorem proving,0
Superscalar,Computer,1
Knowledge representation and reasoning,Data (computing),1
Mobile device,Software engineering,0
Traffic analysis,Authentication,1
Transaction processing,Approximation,0
Python (programming language),Design pattern (computer science),1
Cluster analysis,"Best, worst and average case",0
Machine learning,Problem solving,1
Signal processing,Mathematics,1
Graph theory,Discrete mathematics,1
Lisp (programming language),Java (programming language),0
Hidden Markov model,Reason,1
Computational complexity theory,Mathematical induction,1
Computational geometry,Image,1
Differential equation,Computer graphics,0
Complexity class,Suffix tree,0
Finite-state machine,Unsupervised learning,0
Model checking,Graph theory,1
Time complexity,Automata theory,1
Model checking,Imperative programming,0
Programming paradigm,Computer,1
Computational problem,Mathematics,1
Cryptanalysis,Probability theory,1
Symbol table,Logic,1
Feature extraction,Statistics,0
Theoretical computer science,Discrete mathematics,1
Modular arithmetic,Firewall (computing),0
Software engineering,Computer,1
String (computer science),Algorithm,1
Internet,Processor register,0
Monte Carlo method,Computer science,1
Web search engine,Algorithm,1
Document classification,Computational science,1
Object-oriented programming,Computability,1
3D computer graphics,Abstraction (computer science),1
Lexical semantics,Social network,0
Computational chemistry,Discrete mathematics,1
Correlation and dependence,Random variable,1
System programming,Data structure,1
Complexity,Human-computer interaction,0
Python (programming language),Computational science,1
Input/output,Monte Carlo method,0
Software design,Object-oriented programming,1
Polynomial,Halting problem,0
Computational geometry,Problem solving,1
Rendering (computer graphics),Computer science,1
Rendering (computer graphics),Graphics,1
Software design,Automata theory,1
Randomized algorithm,Polynomial,1
Neural network,Data structure,1
Multi-core processor,Automated planning and scheduling,0
Dynamic programming,Integer,1
Routing,Distributed computing,0
Queue (data structure),Array data structure,1
Integral,Congestion control,0
SQL,Algorithm design,1
Image,Malware,0
Lazy evaluation,Automata theory,1
Parallel algorithm,Mathematics,1
NP (complexity),Undecidable problem,0
Database design,Data,1
Computer animation,Concurrent computing,0
Procedural programming,Database transaction,0
Randomization,Microcode,0
Semidefinite programming,Network security,0
Speech recognition,Randomization,0
Robot,Reason,1
Information assurance,Newton's method,0
Design of experiments,Statistical inference,1
Computer vision,Analysis of algorithms,1
Algorithm design,Probability theory,1
NP-complete,Algorithm design,1
Complexity class,Combinatorics,1
Assembly language,Symbol table,0
List of undecidable problems,Computer network,0
Artificial intelligence,Mathematical induction,1
Internet Protocol Suite,Graph theory,0
Relational algebra,Exponential family,0
Higher-order function,Autonomous robot,0
Question answering,Computational science,1
Random walk,Robot,0
Distributed computing,Complexity,1
Imperative programming,Higher-order function,1
Concurrency control,Pattern recognition,0
Inter-process communication,Computing,1
Formal verification,Data structure,0
Pattern matching,Probability,0
Denotational semantics,Perl,0
Monad (functional programming),Recursion,1
Motion planning,Mechanical engineering,1
Cryptanalysis,Cryptography,1
Propositional calculus,Interactivity,0
Mobile device,Pipeline (computing),0
Parallel algorithm,Computing,1
Finite set,P versus NP problem,0
Prolog,Data (computing),1
Public-key cryptography,Genetic algorithm,0
First-order logic,Algorithm,1
Interaction design,P versus NP problem,0
Java (programming language),Interactivity,0
Numerical analysis,Iterative method,1
Information theory,Information security,0
Context-free language,List of undecidable problems,0
Tensor,Computer graphics,0
Digital signature,Logic,1
Peer-to-peer,Data,1
Calculus of variations,Communication,0
Automated theorem proving,Foundations of mathematics,1
Embedded system,Automatic programming,0
Motion planning,C (programming language),0
Queue (data structure),Data structure,1
Quantum mechanics,hypothesis testing,0
Cryptographic hash function,Modular arithmetic,1
Geometric modeling,Foundations of mathematics,1
Integral,Monad (functional programming),0
Pattern recognition,Procedural programming,0
Geometric modeling,Problem solving,1
Lexical semantics,Theory of computation,0
C++,Abstract data type,1
Software development,Arithmetic,1
Abstract data type,Logic,1
Prolog,Interactivity,0
Inheritance (object-oriented programming),Computability,1
Logic programming,Computer,1
Markov chain,Problem solving,0
Parsing,Algorithm,1
Computer,Relational algebra,0
Congestion control,Computer,1
High-level programming language,Logic,1
Graph theory,Robotics,0
Computer security,Arithmetic,1
Software framework,Haskell (programming language),0
Ray tracing (graphics),Input/output,0
Amortized analysis,Assembly language,0
Object-oriented programming,Variable (computer science),1
Pattern matching,Generic programming,1
CPU cache,Mechanical engineering,0
Decision theory,Mathematics,1
Computer vision,Routing,0
Suffix tree,Computer science,1
Dynamic memory allocation,Memory management,0
Dynamic memory allocation,OSI model,0
C++,Object (computer science),1
Stochastic process,Exponential family,0
Neural network,Computing,1
Computational chemistry,JavaScript,0
Imperative programming,Arithmetic logic unit,0
Operating system,Polynomial,0
Neural network,Artificial intelligence,1
Cryptanalysis,Algorithm,1
Interface (computing),Image analysis,0
Natural language processing,Natural language,1
Symmetric multiprocessing,Program analysis,0
File system,Halting problem,0
Peer-to-peer,Web browser,0
Abstraction (computer science),Monte Carlo method,0
Mutual exclusion,3D modeling,0
Analysis of algorithms,Automata theory,1
Database management system,Data (computing),1
User interface,Digital electronics,1
Markov process,Conditional probability,1
Quantum cryptography,Parametric polymorphism,0
Quantum mechanics,Continuous function,1
Model checking,Computer,1
Uncertainty,PSPACE,0
Ordinary differential equation,Integer,1
Asymptotic analysis,Kernel (computing),0
Assembly language,Arithmetic,1
Numerical analysis,Computability,1
Asymptotic analysis,Lock (computer science),0
